Name,Date,Plot_ID,Treatment,Treatment_area,Aux4,Aux5,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated
20609A1.JPG,2020-06-17,09,A,Quad,,,,,,,Olympus TG-5,Rei Diga,,,,,,209,73,Turf,Reidiga,2021-02-17 10:38:23+00:00
20609A1.JPG,2020-06-17,09,A,Quad,,,,,,,Olympus TG-5,Rei Diga,,,,,,341,350,Turf,Reidiga,2021-02-17 10:38:23+00:00
20609A1.JPG,2020-06-17,09,A,Quad,,,,,,,Olympus TG-5,Rei Diga,,,,,,102,454,Turf,Reidiga,2021-02-17 10:38:23+00:00
20609A1.JPG,2020-06-17,09,A,Quad,,,,,,,Olympus TG-5,Rei Diga,,,,,,190,918,Turf,Reidiga,2021-02-17 10:38:23+00:00
20609A1.JPG,2020-06-17,09,A,Quad,,,,,,,Olympus TG-5,Rei Diga,,,,,,463,965,Jania,Reidiga,2021-02-17 10:38:23+00:00
20609A1.JPG,2020-06-17,09,A,Quad,,,,,,,Olympus TG-5,Rei Diga,,,,,,374,780,Turf,Reidiga,2021-02-17 10:38:23+00:00
20609A1.JPG,2020-06-17,09,A,Quad,,,,,,,Olympus TG-5,Rei Diga,,,,,,225,592,Turf,Reidiga,2021-02-17 10:38:23+00:00
20609A1.JPG,2020-06-17,09,A,Quad,,,,,,,Olympus TG-5,Rei Diga,,,,,,136,1222,Turf,Reidiga,2021-02-17 10:38:23+00:00
20609A1.JPG,2020-06-17,09,A,Quad,,,,,,,Olympus TG-5,Rei Diga,,,,,,239,1349,TRIcleocar,Reidiga,2021-02-17 10:38:23+00:00
20609A1.JPG,2020-06-17,09,A,Quad,,,,,,,Olympus TG-5,Rei Diga,,,,,,78,1355,Turf,Reidiga,2021-02-17 10:38:23+00:00
20609A1.JPG,2020-06-17,09,A,Quad,,,,,,,Olympus TG-5,Rei Diga,,,,,,420,1161,Turf,Reidiga,2021-02-17 10:38:23+00:00
20609A1.JPG,2020-06-17,09,A,Quad,,,,,,,Olympus TG-5,Rei Diga,,,,,,169,1183,Turf,Reidiga,2021-02-17 10:38:23+00:00
20609A1.JPG,2020-06-17,09,A,Quad,,,,,,,Olympus TG-5,Rei Diga,,,,,,361,1274,Turf,Reidiga,2021-02-17 10:38:23+00:00
