Name,Date,Plot_ID,Treatment,Treatment_area,Aux4,Aux5,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,176,268,SHAD
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,240,46,SHAD
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,263,488,Jania
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,462,892,Turf
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,399,583,Ellis
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,330,632,Ellis
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,437,1286,Ellis
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,367,1409,Turf
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,174,1017,Ellis
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,297,1854,Ellis
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,357,1742,Turf
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,6,1695,TAG
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,166,1842,Ellis
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,416,1711,Turf
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,157,1590,Turf
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,436,2184,Ellis
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,32,2067,TAG
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,315,2128,Ellis
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,636,139,Turf
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,716,476,Turf
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,860,160,Ellis
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,706,6,Jania
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,661,805,Turf
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,668,602,Ellis
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,890,792,Jania
201009A1.JPG,2020-10-27,09,A,Quad,,,,,,,Olympus TG-150,Rei Diga,,,,,,724,768,Ellis
